"state_id","state","year","resources_categories_id","resources_categories","total"
1,"Aguascalientes",2001,13,"Consultorios",264
1,"Aguascalientes",2001,14,"Camas en área de hospitalización (Censables)",366
1,"Aguascalientes",2001,15,"Camas fuera del área de hospitalización (No censables)",242
1,"Aguascalientes",2001,16,"Camas recién nacidos",51
1,"Aguascalientes",2001,17,"Equipamiento",62
1,"Aguascalientes",2001,18,"Médicos generales, especialistas y odontólogos",736
1,"Aguascalientes",2001,19,"Personal médico en adiestramiento",211
1,"Aguascalientes",2001,20,"Médicos en otras actividades",62
1,"Aguascalientes",2001,21,"Personal de enfermería en contacto c/paciente",1086
1,"Aguascalientes",2001,22,"Personal de enfermería en otras labores",42
1,"Aguascalientes",2001,23,"Otro personal profesional",102
1,"Aguascalientes",2001,24,"Personal técnico",274
1,"Aguascalientes",2001,25,"Otro personal",780
1,"Aguascalientes",2002,13,"Consultorios",291
1,"Aguascalientes",2002,14,"Camas en área de hospitalización (Censables)",388
1,"Aguascalientes",2002,15,"Camas fuera del área de hospitalización (No censables)",320
1,"Aguascalientes",2002,16,"Camas recién nacidos",73
1,"Aguascalientes",2002,17,"Equipamiento",65
1,"Aguascalientes",2002,18,"Médicos generales, especialistas y odontólogos",783
1,"Aguascalientes",2002,19,"Personal médico en adiestramiento",221
1,"Aguascalientes",2002,20,"Médicos en otras actividades",74
1,"Aguascalientes",2002,21,"Personal de enfermería en contacto c/paciente",1206
1,"Aguascalientes",2002,22,"Personal de enfermería en otras labores",65
1,"Aguascalientes",2002,23,"Otro personal profesional",98
1,"Aguascalientes",2002,24,"Personal técnico",330
1,"Aguascalientes",2002,25,"Otro personal",764
1,"Aguascalientes",2003,13,"Consultorios",291
1,"Aguascalientes",2003,14,"Camas en área de hospitalización (Censables)",388
1,"Aguascalientes",2003,15,"Camas fuera del área de hospitalización (No censables)",361
1,"Aguascalientes",2003,16,"Camas recién nacidos",86
1,"Aguascalientes",2003,17,"Equipamiento",73
1,"Aguascalientes",2003,18,"Médicos generales, especialistas y odontólogos",559
1,"Aguascalientes",2003,19,"Personal médico en adiestramiento",219
1,"Aguascalientes",2003,20,"Médicos en otras actividades",73
1,"Aguascalientes",2003,21,"Personal de enfermería en contacto c/paciente",1209
1,"Aguascalientes",2003,22,"Personal de enfermería en otras labores",65
1,"Aguascalientes",2003,23,"Otro personal profesional",98
1,"Aguascalientes",2003,24,"Personal técnico",297
1,"Aguascalientes",2003,25,"Otro personal",706
1,"Aguascalientes",2004,13,"Consultorios",325
1,"Aguascalientes",2004,14,"Camas en área de hospitalización (Censables)",425
1,"Aguascalientes",2004,15,"Camas fuera del área de hospitalización (No censables)",352
1,"Aguascalientes",2004,16,"Camas recién nacidos",71
1,"Aguascalientes",2004,17,"Equipamiento",75
1,"Aguascalientes",2004,18,"Médicos generales, especialistas y odontólogos",788
1,"Aguascalientes",2004,19,"Personal médico en adiestramiento",248
1,"Aguascalientes",2004,20,"Médicos en otras actividades",82
1,"Aguascalientes",2004,21,"Personal de enfermería en contacto c/paciente",1578
1,"Aguascalientes",2004,22,"Personal de enfermería en otras labores",59
1,"Aguascalientes",2004,23,"Otro personal profesional",118
1,"Aguascalientes",2004,24,"Personal técnico",357
1,"Aguascalientes",2004,25,"Otro personal",1027
1,"Aguascalientes",2005,13,"Consultorios",352
1,"Aguascalientes",2005,14,"Camas en área de hospitalización (Censables)",426
