"year","state_id","state","cve_cie","morbilidad"
2012,1,"Aguascalientes","A00-B99",1729
2012,1,"Aguascalientes","C00-D48",742
2012,1,"Aguascalientes","D50-D89",406
2012,1,"Aguascalientes","E00-E90",3166
2012,1,"Aguascalientes","F00-F99",5975
2012,1,"Aguascalientes","G00-G99",1911
2012,1,"Aguascalientes","H00-H59",2467
2012,1,"Aguascalientes","I00-I99",2175
2012,1,"Aguascalientes","J00-J99",21353
2012,1,"Aguascalientes","K00-K93",12528
2012,1,"Aguascalientes","L00-L99",2170
2012,1,"Aguascalientes","M00-M99",4579
2012,1,"Aguascalientes","N00-N99",9354
2012,1,"Aguascalientes","O00-O99",30599
2012,1,"Aguascalientes","P00-P96",225
2012,1,"Aguascalientes","Q00-Q99",407
2012,1,"Aguascalientes","R00-R99",6181
2012,1,"Aguascalientes","S00-T99",32392
2012,1,"Aguascalientes","Z00-Z99",8146
2012,2,"Baja California","A00-B99",3241
2012,2,"Baja California","C00-D48",1413
2012,2,"Baja California","D50-D89",813
2012,2,"Baja California","E00-E90",6302
2012,2,"Baja California","F00-F99",2468
2012,2,"Baja California","G00-G99",2477
2012,2,"Baja California","H00-H59",3971
2012,2,"Baja California","I00-I99",3952
2012,2,"Baja California","J00-J99",24878
2012,2,"Baja California","K00-K93",18762
2012,2,"Baja California","L00-L99",4044
2012,2,"Baja California","M00-M99",6593
2012,2,"Baja California","N00-N99",10006
2012,2,"Baja California","O00-O99",8340
2012,2,"Baja California","P00-P96",373
2012,2,"Baja California","Q00-Q99",237
2012,2,"Baja California","R00-R99",11928
2012,2,"Baja California","S00-T99",22864
2012,2,"Baja California","Z00-Z99",48883
2012,3,"Baja California Sur","A00-B99",1516
2012,3,"Baja California Sur","C00-D48",360
2012,3,"Baja California Sur","D50-D89",242
2012,3,"Baja California Sur","E00-E90",2219
2012,3,"Baja California Sur","F00-F99",1183
2012,3,"Baja California Sur","G00-G99",1552
2012,3,"Baja California Sur","H00-H59",3551
2012,3,"Baja California Sur","I00-I99",897
2012,3,"Baja California Sur","J00-J99",17469
2012,3,"Baja California Sur","K00-K93",9514
2012,3,"Baja California Sur","L00-L99",2320
2012,3,"Baja California Sur","M00-M99",4379
2012,3,"Baja California Sur","N00-N99",5271
2012,3,"Baja California Sur","O00-O99",3362
2012,3,"Baja California Sur","P00-P96",269
2012,3,"Baja California Sur","Q00-Q99",84
2012,3,"Baja California Sur","R00-R99",6101
2012,3,"Baja California Sur","S00-T99",10129
2012,3,"Baja California Sur","Z00-Z99",11590
2012,4,"Campeche","A00-B99",2599
2012,4,"Campeche","C00-D48",471
2012,4,"Campeche","D50-D89",269
2012,4,"Campeche","E00-E90",2525
2012,4,"Campeche","F00-F99",1480
2012,4,"Campeche","G00-G99",898
2012,4,"Campeche","H00-H59",1800
2012,4,"Campeche","I00-I99",798
2012,4,"Campeche","J00-J99",14714
2012,4,"Campeche","K00-K93",7711
2012,4,"Campeche","L00-L99",2080
2012,4,"Campeche","M00-M99",2523
2012,4,"Campeche","N00-N99",5620
2012,4,"Campeche","O00-O99",13568
2012,4,"Campeche","P00-P96",181
2012,4,"Campeche","Q00-Q99",28
2012,4,"Campeche","R00-R99",5989
2012,4,"Campeche","S00-T99",11489
2012,4,"Campeche","Z00-Z99",5738
2012,5,"Coahuila de Zaragoza","A00-B99",1842
2012,5,"Coahuila de Zaragoza","C00-D48",1342
2012,5,"Coahuila de Zaragoza","D50-D89",500
2012,5,"Coahuila de Zaragoza","E00-E90",4190
2012,5,"Coahuila de Zaragoza","F00-F99",1491
2012,5,"Coahuila de Zaragoza","G00-G99",917
2012,5,"Coahuila de Zaragoza","H00-H59",2459
2012,5,"Coahuila de Zaragoza","I00-I99",1574
2012,5,"Coahuila de Zaragoza","J00-J99",13316
2012,5,"Coahuila de Zaragoza","K00-K93",9982
2012,5,"Coahuila de Zaragoza","L00-L99",1909
2012,5,"Coahuila de Zaragoza","M00-M99",2719
2012,5,"Coahuila de Zaragoza","N00-N99",7753
2012,5,"Coahuila de Zaragoza","O00-O99",25361
2012,5,"Coahuila de Zaragoza","P00-P96",765
2012,5,"Coahuila de Zaragoza","Q00-Q99",398
2012,5,"Coahuila de Zaragoza","R00-R99",4783
2012,5,"Coahuila de Zaragoza","S00-T99",16769
2012,5,"Coahuila de Zaragoza","Z00-Z99",13569
2012,6,"Colima","A00-B99",1226
2012,6,"Colima","C00-D48",375
2012,6,"Colima","D50-D89",284
2012,6,"Colima","E00-E90",3177
2012,6,"Colima","F00-F99",1341
2012,6,"Colima","G00-G99",912
2012,6,"Colima","H00-H59",1959
2012,6,"Colima","I00-I99",869
2012,6,"Colima","J00-J99",10325
2012,6,"Colima","K00-K93",6565
2012,6,"Colima","L00-L99",1406
2012,6,"Colima","M00-M99",2417
2012,6,"Colima","N00-N99",3980
2012,6,"Colima","O00-O99",1994
2012,6,"Colima","P00-P96",200
2012,6,"Colima","Q00-Q99",79
2012,6,"Colima","R00-R99",5172
2012,6,"Colima","S00-T99",14622
2012,6,"Colima","Z00-Z99",4889
2012,7,"Chiapas","A00-B99",10818
2012,7,"Chiapas","C00-D48",2618
2012,7,"Chiapas","D50-D89",1542
2012,7,"Chiapas","E00-E90",10370
2012,7,"Chiapas","F00-F99",2997
2012,7,"Chiapas","G00-G99",2488
2012,7,"Chiapas","H00-H59",4373
2012,7,"Chiapas","I00-I99",2871
2012,7,"Chiapas","J00-J99",45697
2012,7,"Chiapas","K00-K93",25165
2012,7,"Chiapas","L00-L99",5409
2012,7,"Chiapas","M00-M99",6420
2012,7,"Chiapas","N00-N99",18676
2012,7,"Chiapas","O00-O99",33046
2012,7,"Chiapas","P00-P96",1091
2012,7,"Chiapas","Q00-Q99",441
2012,7,"Chiapas","R00-R99",12961
2012,7,"Chiapas","S00-T99",28752
2012,7,"Chiapas","Z00-Z99",73076
2012,8,"Chihuahua","A00-B99",345
2012,8,"Chihuahua","C00-D48",464
2012,8,"Chihuahua","D50-D89",132
2012,8,"Chihuahua","E00-E90",864
2012,8,"Chihuahua","F00-F99",414
2012,8,"Chihuahua","G00-G99",435
2012,8,"Chihuahua","H00-H59",446
2012,8,"Chihuahua","I00-I99",837
2012,8,"Chihuahua","J00-J99",3569
2012,8,"Chihuahua","K00-K93",3247
2012,8,"Chihuahua","L00-L99",603
2012,8,"Chihuahua","M00-M99",1241
2012,8,"Chihuahua","N00-N99",2115
2012,8,"Chihuahua","O00-O99",5118
