"state_id","state","year","projected_population"
1,"Aguascalientes",1970,356491
1,"Aguascalientes",1971,371369
1,"Aguascalientes",1972,386794
1,"Aguascalientes",1973,402633
1,"Aguascalientes",1974,418900
1,"Aguascalientes",1975,435558
1,"Aguascalientes",1976,452538
1,"Aguascalientes",1977,469739
1,"Aguascalientes",1978,487198
1,"Aguascalientes",1979,504873
1,"Aguascalientes",1980,523567
1,"Aguascalientes",1981,544127
1,"Aguascalientes",1982,565855
1,"Aguascalientes",1983,587908
1,"Aguascalientes",1984,610258
1,"Aguascalientes",1985,632843
1,"Aguascalientes",1986,655680
1,"Aguascalientes",1987,678806
1,"Aguascalientes",1988,702144
1,"Aguascalientes",1989,725631
1,"Aguascalientes",1990,748737
1,"Aguascalientes",1991,771490
1,"Aguascalientes",1992,794389
1,"Aguascalientes",1993,817353
1,"Aguascalientes",1994,840342
1,"Aguascalientes",1995,863323
1,"Aguascalientes",1996,884636
1,"Aguascalientes",1997,904251
1,"Aguascalientes",1998,923720
1,"Aguascalientes",1999,943020
1,"Aguascalientes",2000,964010
1,"Aguascalientes",2001,987520
1,"Aguascalientes",2002,1011950
1,"Aguascalientes",2003,1036717
1,"Aguascalientes",2004,1061561
1,"Aguascalientes",2005,1086798
1,"Aguascalientes",2006,1110011
1,"Aguascalientes",2007,1131266
1,"Aguascalientes",2008,1153468
1,"Aguascalientes",2009,1176168
1,"Aguascalientes",2010,1198510
1,"Aguascalientes",2011,1223425
1,"Aguascalientes",2012,1250962
1,"Aguascalientes",2013,1278202
1,"Aguascalientes",2014,1305273
1,"Aguascalientes",2015,1331825
1,"Aguascalientes",2016,1355321
1,"Aguascalientes",2017,1375782
1,"Aguascalientes",2018,1395794
1,"Aguascalientes",2019,1415421
1,"Aguascalientes",2020,1434635
1,"Aguascalientes",2021,1453452
1,"Aguascalientes",2022,1471859
1,"Aguascalientes",2023,1489875
1,"Aguascalientes",2024,1507474
1,"Aguascalientes",2025,1524644
1,"Aguascalientes",2026,1541405
1,"Aguascalientes",2027,1557754
1,"Aguascalientes",2028,1573657
1,"Aguascalientes",2029,1589095
