"date","price"
"1983-01-01",25.2
"1984-01-01",25.14
"1985-01-01",25.5
"1986-01-01",19.27
"1987-01-01",14.8
"1988-01-01",11.83
"1989-01-01",12.42
"1990-01-01",16.32
"1991-01-01",16.82
"1992-01-01",9.93
"1993-01-01",12.31
"1994-01-01",9.9
"1995-01-01",13.82
"1996-01-01",14.85
"1997-01-01",18.47
"1998-01-01",9.7
"1999-01-01",7.37
"2000-01-01",21.44
"2001-01-01",18.67
"2002-01-01",13.15
"2003-01-01",27.65
"2004-01-01",25.7
"2005-01-01",29.69
"2006-01-01",47.8
"2007-01-01",42.09
"2008-01-01",78.48
"2009-01-01",36.61
"2010-01-01",71.37
"2011-01-01",81.66
"2012-01-01",105.91
"2013-01-01",97.42
"2014-01-01",87.17
"2015-01-01",40.11
"2016-01-01",24.21
"2017-01-01",45.74
"2018-01-01",59.05
"2019-01-01",55.42
"2020-01-01",54.19
"2021-01-01",50.26
"2022-01-01",74.78
"1983-02-01",24.17
"1984-02-01",25.09
"1985-02-01",25.52
"1986-02-01",13.89
"1987-02-01",14.51
"1988-02-01",11.99
"1989-02-01",12.5
"1990-02-01",14.92
"1991-02-01",11.38
"1992-02-01",10.04
"1993-02-01",12.95
"1994-02-01",9.87
"1995-02-01",14.6
"1996-02-01",15.32
"1997-02-01",15.97
"1998-02-01",9.06
"1999-02-01",7.15
"2000-02-01",23.97
"2001-02-01",18.8
"2002-02-01",14.58
"2003-02-01",27.64
"2004-02-01",25.11
"2005-02-01",31.95
"2006-02-01",45.97
"2007-02-01",46
"2008-02-01",78.17
"2009-02-01",37.12
"2010-02-01",68.05
"2011-02-01",86.56
"2012-02-01",108.59
"2013-02-01",106.36
"2014-02-01",90.01
"2015-02-01",47.31
"2016-02-01",24.84
"2017-02-01",45.88
"2018-02-01",56.82
"2019-02-01",59.35
"2020-02-01",47.96
"2021-02-01",57.07
"2022-02-01",85.52
"1983-03-01",23.17
"1984-03-01",25.03
"1985-03-01",25.5
"1986-03-01",10.75
"1987-03-01",15.06
"1988-03-01",10.65
"1989-03-01",13.39
"1990-03-01",14.05
"1991-03-01",11.4
"1992-03-01",10.6
"1993-03-01",13.32
"1994-03-01",10.01
"1995-03-01",14.86
